Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.2, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.621202886870752
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.290752466694819
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.649713945112331
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'linear'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.9259731811107725
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.206707583218157
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 4.503524852342026
Filtre 2, Paramètre {'C': 100.0, 'epsilon': 0.1, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 6.312878861395568
Filtre 2, Paramètre {'C': 1000.0, 'epsilon': 0.2, 'kernel': 'poly'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler PowerTransformer : 7.491557665291536
Filtre 2, Paramètre {'C': 0.1, 'epsilon': 0.01, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.078150441164994
Filtre 2, Paramètre {'C': 0.5, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.134912368547189
Filtre 2, Paramètre {'C': 1.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.185310542597009
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.05, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.321766621377031
Filtre 2, Paramètre {'C': 10.0, 'epsilon': 0.1, 'kernel': 'rbf'}, AddFeatures 1, Erreur absolue moyenne (SVR) pour le scaler RobustScaler : 4.331080738981958
